Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimSize,FraudFound_P
May,2,Wednesday,Honda,Urban,Tuesday,May,3,Female,Single,26,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1809,6,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,7895.41,
Aug,3,Tuesday,Pontiac,Urban,Tuesday,Aug,3,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,more than 69000,1813,9,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,55237.8,
Jan,2,Friday,Pontiac,Urban,Monday,Jan,3,Male,Married,60,Policy Holder,Sedan - Collision,Sedan,more than 69000,1818,1,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision,3978.03,
Apr,2,Saturday,Pontiac,Urban,Tuesday,Apr,2,Female,Single,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1821,16,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,1 year,1 vehicle,1994,Collision,8693.27,
May,3,Wednesday,Chevrolet,Rural,Tuesday,Sep,1,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1824,5,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,9211.27,
Jun,5,Thursday,Honda,Urban,Thursday,Jul,1,Male,Single,24,Policy Holder,Sport - Collision,Sport,more than 69000,1826,6,400,1,more than 30,more than 30,none,6 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision,58204,
Sep,2,Tuesday,Chevrolet,Urban,Tuesday,Sep,4,Female,Married,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1827,8,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,9602.28,
Oct,5,Saturday,Chevrolet,Urban,Monday,Oct,5,Male,Married,79,Third Party,Sedan - Collision,Sedan,20000 to 29000,1829,4,400,4,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Collision,16402.7,
Oct,4,Tuesday,Chevrolet,Urban,Wednesday,Oct,4,Male,Single,49,Third Party,Sedan - Collision,Sedan,30000 to 39000,1830,6,700,2,more than 30,more than 30,none,more than 7,41 to 50,Yes,No,External,more than 5,no change,1 vehicle,1994,Collision,4441.72,
Apr,3,Wednesday,Toyota,Urban,Wednesday,May,2,Male,Married,38,Third Party,Sedan - All Perils,Sedan,20000 to 29000,1844,9,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,4423.19,
Jan,3,Tuesday,Honda,Rural,Wednesday,Jan,3,Male,Married,33,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1848,15,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,1001.74,
Jan,1,Friday,Honda,Urban,Monday,Jan,2,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1852,11,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,4063.24,
Jan,2,Sunday,Pontiac,Rural,Monday,Jan,2,Male,Married,39,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1854,15,400,3,more than 30,more than 30,1,5 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,56480.09,
Jan,1,Sunday,Mazda,Urban,Tuesday,Jan,1,Female,Married,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1858,16,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,15587.82,
Jun,1,Sunday,Toyota,Urban,Wednesday,Jun,2,Male,Married,51,Third Party,Sedan - Collision,Sedan,more than 69000,1870,12,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision,84043.78,
Mar,2,Tuesday,Accura,Urban,Wednesday,Apr,2,Male,Married,43,Third Party,Sedan - All Perils,Sedan,30000 to 39000,1875,8,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,3978.42,
Feb,2,Wednesday,Pontiac,Urban,Wednesday,Feb,2,Male,Married,37,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1877,9,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,1797.96,
Mar,4,Wednesday,Dodge,Urban,Friday,Mar,4,Male,Married,53,Third Party,Sedan - Collision,Sedan,30000 to 39000,1882,9,400,3,none,8 to 15,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,12707.97,
Aug,1,Saturday,Chevrolet,Urban,Thursday,Aug,4,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,more than 69000,1891,1,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,4 to 8 years,2 vehicles,1994,Collision,10818.71,
Feb,3,Wednesday,Honda,Urban,Friday,Feb,3,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1897,14,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,24985.65,
Feb,2,Wednesday,Chevrolet,Urban,Wednesday,Feb,2,Male,Married,43,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1900,15,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,1240.71,
Jul,5,Thursday,Pontiac,Urban,Friday,Jul,5,Male,Married,29,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1905,8,400,2,more than 30,more than 30,none,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,7426.79,
Apr,1,Friday,Pontiac,Urban,Monday,Apr,1,Male,Married,54,Third Party,Sedan - All Perils,Sedan,less than 20000,1908,3,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,69780.76,
Dec,5,Thursday,Toyota,Urban,Tuesday,Jan,1,Male,Single,32,Third Party,Sedan - Collision,Sedan,20000 to 29000,1913,16,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,11761.29,
Feb,2,Sunday,Toyota,Rural,Wednesday,Feb,3,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1917,7,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,8615.7,
Feb,3,Thursday,Accura,Urban,Friday,Feb,3,Male,Married,38,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1924,9,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,9554.64,
Jan,5,Friday,Ford,Urban,Friday,Mar,2,Male,Married,40,Third Party,Sedan - Collision,Sedan,40000 to 59000,1928,3,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,3 to 4,1994,Collision,2186.85,
Jan,4,Monday,Pontiac,Urban,Monday,Jan,4,Male,Married,52,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1932,7,400,4,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,2801,
Jan,3,Friday,Toyota,Urban,Tuesday,Jan,3,Male,Married,37,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1936,7,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,61009.64,
Mar,2,Friday,Pontiac,Urban,Thursday,Mar,4,Male,Single,46,Third Party,Sedan - Collision,Sedan,30000 to 39000,1939,1,500,1,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,2 to 3 years,1 vehicle,1994,Collision,2131.37,
Jan,2,Tuesday,Accura,Rural,Thursday,Jan,2,Male,Married,46,Policy Holder,Utility - All Perils,Utility,more than 69000,1941,12,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,34436.15,
Dec,5,Wednesday,Honda,Urban,Wednesday,Jan,3,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1952,7,400,2,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils,6847.46,
Dec,4,Friday,Chevrolet,Urban,Monday,Jan,1,Male,Married,37,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1954,2,700,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1994,All Perils,51774.9,
Jan,1,Tuesday,Honda,Rural,Friday,Jan,2,Male,Married,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1962,6,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,2976.09,
Jan,2,Sunday,Toyota,Urban,Friday,Jan,3,Female,Single,35,Policy Holder,Sedan - Collision,Sedan,less than 20000,1965,8,400,2,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,19139.24,
Jan,2,Tuesday,Toyota,Urban,Friday,Jan,5,Male,Married,35,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1968,13,400,4,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,11607.81,
Feb,1,Tuesday,Ford,Urban,Friday,Feb,1,Male,Married,64,Policy Holder,Utility - All Perils,Utility,more than 69000,1974,1,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils,6562.9,
May,5,Tuesday,Toyota,Urban,Tuesday,May,5,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1977,3,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,21609,
Mar,2,Saturday,Honda,Rural,Monday,Mar,3,Male,Single,20,Policy Holder,Sport - Collision,Sport,more than 69000,1979,3,400,4,more than 30,more than 30,2 to 4,4 years,21 to 25,No,No,External,none,no change,1 vehicle,1994,Collision,12825.05,
Feb,1,Sunday,Chevrolet,Urban,Friday,Feb,4,Male,Married,40,Third Party,Sedan - Collision,Sedan,30000 to 39000,1990,6,500,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,2 to 3 years,1 vehicle,1994,Collision,29141.4,
Jan,3,Saturday,Honda,Urban,Monday,Jan,3,Male,Single,29,Policy Holder,Sedan - Liability,Sport,30000 to 39000,1991,5,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,75436.37,
Mar,3,Tuesday,Toyota,Urban,Monday,Mar,4,Female,Single,29,Third Party,Sedan - Collision,Sedan,20000 to 29000,1994,5,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,73711.67,
Mar,2,Sunday,Toyota,Urban,Tuesday,Mar,3,Male,Married,58,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1995,10,400,3,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability,5583.87,
Jan,4,Tuesday,Honda,Urban,Friday,Feb,1,Male,Single,28,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1998,12,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,3526.11,
Jan,2,Saturday,Honda,Urban,Friday,Feb,2,Male,Married,63,Policy Holder,Sport - Collision,Sport,more than 69000,2007,5,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision,8847.6,
Dec,4,Monday,Toyota,Urban,Thursday,Dec,5,Male,Married,55,Policy Holder,Sedan - All Perils,Sedan,less than 20000,2008,7,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,38298.2,
Dec,5,Wednesday,Pontiac,Urban,Thursday,Feb,1,Female,Married,48,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2010,8,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,1 to 2,no change,3 to 4,1994,Collision,8649.85,
Feb,4,Thursday,Mazda,Urban,Monday,Feb,5,Male,Married,48,Third Party,Sedan - Liability,Sport,20000 to 29000,2016,5,700,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,81749.88,
Mar,5,Thursday,Chevrolet,Urban,Monday,Apr,1,Male,Married,40,Third Party,Sedan - Collision,Sedan,20000 to 29000,2018,15,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,51297.81,
Jul,3,Sunday,Toyota,Urban,Monday,Jul,4,Male,Single,21,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2022,1,400,1,more than 30,more than 30,2 to 4,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision,7160.89,
Mar,1,Saturday,Chevrolet,Urban,Tuesday,Mar,2,Male,Married,48,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2029,14,400,2,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,9118.59,
Apr,1,Sunday,Honda,Urban,Monday,Apr,1,Male,Single,29,Policy Holder,Sedan - All Perils,Sedan,less than 20000,2031,8,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1994,All Perils,8331.41,
Feb,2,Tuesday,Honda,Urban,Tuesday,Feb,2,Male,Married,50,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2034,6,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability,1163.27,
May,2,Monday,Pontiac,Rural,Tuesday,May,2,Male,Single,32,Third Party,Sedan - Collision,Sedan,20000 to 29000,2038,15,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision,60746.44,
Jun,3,Thursday,Chevrolet,Rural,Thursday,Jun,3,Male,Married,41,Third Party,Sedan - Collision,Sedan,more than 69000,2041,10,500,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,2 to 3 years,1 vehicle,1994,Collision,4650.7,
Jul,4,Monday,Toyota,Urban,Tuesday,Jul,4,Male,Married,37,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,2044,6,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,4187.76,
Jul,3,Friday,Chevrolet,Urban,Monday,Jul,3,Male,Married,41,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2045,6,400,3,more than 30,more than 30,more than 4,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,10658.89,
Aug,2,Tuesday,Honda,Urban,Tuesday,Aug,2,Male,Married,62,Third Party,Sedan - All Perils,Sedan,20000 to 29000,2048,1,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,34240.69,
Oct,3,Monday,Toyota,Urban,Tuesday,Oct,3,Female,Single,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2049,8,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,3677.45,
Feb,4,Saturday,Dodge,Urban,Monday,Feb,4,Male,Single,28,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,2053,14,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,8387.29,
Apr,3,Wednesday,Honda,Urban,Thursday,Apr,3,Male,Married,53,Policy Holder,Sedan - Liability,Sport,40000 to 59000,2057,8,400,3,15 to 30,15 to 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,2985.56,
Mar,3,Wednesday,Toyota,Urban,Monday,Mar,4,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,2066,12,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,7853.13,
Jul,2,Wednesday,Chevrolet,Urban,Friday,Jul,3,Male,Married,36,Policy Holder,Utility - All Perils,Utility,more than 69000,2073,1,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,50283.66,
Jun,4,Monday,Toyota,Urban,Tuesday,Jun,5,Male,Single,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2075,9,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,5576.3,
Jun,4,Monday,Mazda,Urban,Tuesday,Jun,5,Male,Single,32,Third Party,Sedan - Collision,Sedan,20000 to 29000,2076,12,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,61232.45,
Oct,4,Thursday,Chevrolet,Urban,Wednesday,Nov,1,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2078,3,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,3322.86,
Mar,2,Sunday,Honda,Urban,Monday,Mar,2,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2081,2,400,1,more than 30,more than 30,1,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,61022.56,
May,3,Sunday,Pontiac,Urban,Monday,May,3,Male,Married,50,Policy Holder,Sedan - Liability,Sport,30000 to 39000,2082,9,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,2342.87,
Jul,1,Monday,Toyota,Urban,Tuesday,Jul,1,Male,Married,76,Third Party,Sedan - All Perils,Sedan,less than 20000,2086,7,400,2,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils,2468.94,
Jul,1,Monday,Toyota,Rural,Monday,Jul,1,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2087,12,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,28186.39,
Oct,4,Saturday,Mazda,Urban,Thursday,Nov,2,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2093,15,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,34662.28,
Jun,2,Saturday,Honda,Urban,Monday,Jun,2,Female,Single,24,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2097,7,400,3,more than 30,more than 30,1,5 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,51509.22,
Jun,2,Friday,Mazda,Urban,Saturday,Jul,1,Male,Married,77,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,2098,4,400,3,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,987.24,
Jun,1,Friday,Mazda,Urban,Monday,Jun,2,Male,Married,33,Third Party,Sedan - All Perils,Sedan,20000 to 29000,2100,3,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,15845.65,
May,1,Saturday,Toyota,Urban,Thursday,May,3,Male,Single,18,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,2101,7,400,3,more than 30,more than 30,none,4 years,21 to 25,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,All Perils,17725.8,
Apr,1,Thursday,Pontiac,Urban,Thursday,Apr,1,Male,Married,66,Policy Holder,Sedan - Liability,Sport,less than 20000,2103,9,400,1,more than 30,more than 30,2 to 4,7 years,over 65,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,8301.95,
May,1,Tuesday,Honda,Rural,Wednesday,May,1,Male,Married,52,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2121,12,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,82539.22,
Apr,5,Thursday,Accura,Urban,Wednesday,May,1,Female,Married,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2122,16,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability,1038.9,
Apr,4,Tuesday,Toyota,Urban,Monday,May,1,Female,Single,48,Third Party,Sedan - Collision,Sedan,20000 to 29000,2123,11,400,4,more than 30,more than 30,none,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,1092.76,
Jul,1,Friday,Honda,Urban,Monday,Jan,4,Male,Single,0,Policy Holder,Sedan - Collision,Sedan,more than 69000,2126,9,400,3,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Collision,1686.81,
Feb,3,Sunday,Honda,Urban,Friday,Feb,4,Male,Married,36,Policy Holder,Sport - Collision,Sport,more than 69000,2130,15,400,4,more than 30,more than 30,1,3 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,9178.16,
Mar,3,Friday,Chevrolet,Urban,Friday,Apr,1,Male,Single,35,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,2142,4,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,55330.27,
Apr,5,Saturday,Toyota,Urban,Wednesday,May,1,Male,Married,26,Third Party,Sedan - Collision,Sedan,20000 to 29000,2147,4,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,8917.79,
Oct,4,Friday,Toyota,Urban,Wednesday,Oct,4,Male,Married,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2154,15,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,11945.33,
Apr,2,Monday,Chevrolet,Rural,Wednesday,May,1,Male,Married,73,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,2167,8,400,3,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils,1455.18,
Feb,4,Friday,Chevrolet,Urban,Monday,Feb,5,Male,Married,38,Policy Holder,Sedan - Liability,Sport,40000 to 59000,2172,14,400,1,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,2819.91,
Nov,1,Friday,Ford,Urban,Thursday,Nov,2,Male,Married,31,Policy Holder,Sedan - Liability,Sport,30000 to 39000,2177,1,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1994,Liability,1185.55,
Mar,3,Wednesday,Pontiac,Urban,Wednesday,Mar,3,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2180,4,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,7956.39,
Feb,3,Tuesday,Toyota,Urban,Tuesday,Feb,3,Female,Married,51,Policy Holder,Sedan - All Perils,Sedan,less than 20000,2185,6,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,1 year,2 vehicles,1994,All Perils,10336.09,
May,2,Monday,Pontiac,Urban,Monday,Jun,3,Male,Married,63,Policy Holder,Utility - All Perils,Utility,more than 69000,2187,8,400,1,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,11483.9,
Mar,4,Monday,Ford,Urban,Friday,Apr,1,Male,Married,64,Policy Holder,Sedan - All Perils,Sedan,less than 20000,2191,2,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils,12109.58,
Feb,2,Saturday,Toyota,Urban,Wednesday,Feb,3,Female,Married,68,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,2196,10,400,1,more than 30,more than 30,none,more than 7,over 65,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,4494.45,
Mar,4,Wednesday,Chevrolet,Urban,Thursday,Apr,4,Male,Married,77,Policy Holder,Utility - Liability,Utility,more than 69000,2198,11,400,2,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,Internal,more than 5,no change,1 vehicle,1994,Liability,2463.72,
Jan,5,Sunday,Chevrolet,Rural,Tuesday,Feb,1,Male,Single,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2204,16,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,7089.71,
Feb,2,Wednesday,Honda,Urban,Thursday,Feb,2,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,2211,16,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,1389.02,
Feb,3,Friday,Chevrolet,Rural,Wednesday,Feb,4,Male,Married,41,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2213,8,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,6575.65,
Feb,1,Monday,Accura,Urban,Friday,Feb,2,Female,Married,37,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,2219,16,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,4376.31,
Mar,4,Tuesday,Toyota,Urban,Monday,Jun,4,Male,Single,29,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,2223,3,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,4526.33,
Feb,3,Tuesday,Pontiac,Urban,Thursday,Mar,2,Female,Single,30,Third Party,Sedan - All Perils,Sedan,less than 20000,2224,7,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,3470.64,
Feb,3,Saturday,Honda,Urban,Monday,Feb,3,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,2225,6,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,6390.86,
Feb,3,Saturday,Toyota,Urban,Monday,Feb,3,Female,Single,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2226,11,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,6120.05,
Feb,3,Monday,Pontiac,Urban,Thursday,Mar,1,Female,Married,54,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,2227,2,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,Collision,17611.88,
